job_title,company,location,apply_link,scraped_date,state,job_category,job_level,python_related,title_word_count,title_character_count,job_level_encoded
Senior Python Developer,"Payne, Roberts and Davis","Stewartbury, AA",https://www.realpython.com,2026-09-15,AA,Technology,Senior Level,1,3,23,2
Energy engineer,Vasquez-Davidson,"Christopherville, AA",https://www.realpython.com,2026-09-15,AA,Technology,Mid/General Level,0,2,15,1
Legal executive,"Jackson, Chambers and Levy","Port Ericaburgh, AA",https://www.realpython.com,2026-09-15,AA,Business & Management,Mid/General Level,0,2,15,1
Fitness centre manager,Savage-Bradley,"East Seanview, AP",https://www.realpython.com,2026-09-15,AP,Business & Management,Mid/General Level,0,3,22,1
Product manager,Ramirez Inc,"North Jamieview, AP",https://www.realpython.com,2026-09-15,AP,Business & Management,Mid/General Level,0,2,15,1
Medical technical officer,Rogers-Yates,"Davidville, AP",https://www.realpython.com,2026-09-15,AP,Technology,Mid/General Level,0,3,25,1
Physiological scientist,Kramer-Klein,"South Christopher, AE",https://www.realpython.com,2026-09-15,AE,Data & Research,Mid/General Level,0,2,23,1
Textile designer,Meyers-Johnson,"Port Jonathan, AE",https://www.realpython.com,2026-09-15,AE,Creative,Mid/General Level,0,2,16,1
Television floor manager,Hughes-Williams,"Osbornetown, AE",https://www.realpython.com,2026-09-15,AE,Business & Management,Mid/General Level,0,3,24,1
Waste management officer,"Jones, Williams and Villa","Scotttown, AP",https://www.realpython.com,2026-09-15,AP,Other,Mid/General Level,0,3,24,1
Software Engineer (Python),Garcia PLC,"Ericberg, AE",https://www.realpython.com,2026-09-15,AE,Technology,Mid/General Level,1,3,26,1
Interpreter,Gregory and Sons,"Ramireztown, AE",https://www.realpython.com,2026-09-15,AE,Other,Mid/General Level,0,1,11,1
Architect,"Clark, Garcia and Sosa","Figueroaview, AA",https://www.realpython.com,2026-09-15,AA,Other,Mid/General Level,0,1,9,1
Meteorologist,Bush PLC,"Kelseystad, AA",https://www.realpython.com,2026-09-15,AA,Other,Mid/General Level,0,1,13,1
Audiological scientist,Salazar-Meyers,"Williamsburgh, AE",https://www.realpython.com,2026-09-15,AE,Data & Research,Mid/General Level,0,2,22,1
English as a second language teacher,"Parker, Murphy and Brooks","Mitchellburgh, AE",https://www.realpython.com,2026-09-15,AE,Other,Mid/General Level,0,6,36,1
Surgeon,Cruz-Brown,"West Jessicabury, AA",https://www.realpython.com,2026-09-15,AA,Healthcare,Mid/General Level,0,1,7,1
